subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
2,auditory,1000,1211,0.00047309,0.46517,0,211,211
2,auditory,3000,3476,0.00081842,1.9352,0,476,476
2,auditory,3500,4295,0.00098181,1.7361,0,795,795
2,audiomotor,1750,2064,0.7385,3.9965,246,314,314
2,audiomotor,2278,2166,1.1817,6.8044,274,-112,112
2,audiomotor,3310,2957,1.6055,8.7897,306,-353,353
2,audiomotor,3765,3898,1.7598,9.7583,260,133,133
2,audiomotor,1303,1576,0.56656,3.7508,299,273,273
2,audiomotor,1821,1693,0.91957,5.5825,318,-128,128
2,audiomotor,2365,2781,1.1784,7.161,361,416,416
2,audiomotor,2816,4345,1.5975,10.014,312,1529,1529
2,audiomotor,2849,3568,1.442,8.6272,345,719,719
2,audiomotor,3243,3777,1.7393,9.7224,238,534,534
2,audiomotor,4240,4871,2.4913,15.311,237,631,631
2,audiomotor,1287,1371,0.59955,3.9265,283,84,84
2,audiomotor,3764,4056,2.1366,13.431,260,292,292
2,audiomotor,4313,4325,2.2262,13.336,308,12,12
2,motor,3774,3963,1.8421,10.716,270,189,189
2,motor,4272,4307,2.2676,12.558,268,35,35
2,motor,1729,2630,0.81021,5.0528,225,901,901
2,motor,2299,2800,0.9998,5.9216,295,501,501
2,motor,4261,4069,1.6308,9.4456,256,-192,192
2,motor,1319,1905,0.46777,2.6564,315,586,586
2,motor,2824,3555,1.167,6.5287,320,731,731
2,motor,3273,4148,1.5014,7.5095,270,875,875
2,motor,1257,2013,0.4805,2.3745,252,756,756
2,motor,1736,2269,0.69996,3.4322,233,533,533
2,motor,2289,2807,1.0515,5.2463,285,518,518
2,motor,2739,4245,1.3823,6.9697,234,1506,1506
2,motor,3321,3775,1.7194,9.1828,316,454,454
2,motor,3803,4109,1.8745,8.8295,299,306,306
2,auditory,1000,2053,0.00038242,0.59918,0,1053,1053
2,auditory,1500,2603,0.00060235,0.78372,0,1103,1103
2,auditory,1500,2250,0.00082817,1.94,0,750,750
2,auditory,2000,2843,0.00049227,0.34877,0,843,843
2,auditory,4000,4838,0.00078883,2.5491,0,838,838
2,auditory,1000,1297,0.00044684,0.93846,0,297,297
2,auditory,3000,3339,0.0011194,3.8602,0,339,339
2,auditory,3500,4214,0.0011187,2.3379,0,714,714
2,auditory,3500,3768,0.0012578,2.3571,0,268,268
2,auditory,4000,4222,0.0012402,1.4117,0,222,222
2,auditory,2500,4787,0.001476,0.85177,0,2287,2287
2,auditory,3000,3931,0.0021115,1.9784,0,931,931
2,auditory,2000,2767,0.00055449,2.1077,0,767,767
2,auditory,2500,2770,0.0013739,1.3499,0,270,270
2,audiomotor,2796,3271,1.244,7.1186,293,475,475
2,audiomotor,3268,3725,1.6361,9.8473,264,457,457
2,audiomotor,1801,1629,0.87951,5.2046,297,-172,172
2,audiomotor,2322,2485,1.2139,6.8531,318,163,163
2,audiomotor,3828,4397,2.0971,11.026,325,569,569
2,audiomotor,4276,5244,2.4703,13.451,273,968,968
2,audiomotor,2308,2004,1.1884,6.2196,305,-304,304
2,audiomotor,2800,3622,1.547,8.345,297,822,822
2,audiomotor,3277,4402,1.7285,8.9408,273,1125,1125
2,audiomotor,3771,4461,1.9137,10.63,266,690,690
2,audiomotor,1303,1327,0.50975,2.9098,300,24,24
2,audiomotor,1780,2392,0.84834,4.772,275,612,612
2,audiomotor,4236,4599,2.4813,12.479,232,363,363
2,audiomotor,1317,1439,0.46791,2.4962,313,122,122
2,motor,3267,4128,1.2392,7.1104,262,861,861
2,motor,3724,3807,1.3258,7.473,221,83,83
2,motor,2300,2373,0.91985,4.3472,296,73,73
2,motor,2766,3148,1.2704,6.3238,263,382,382
2,motor,1774,2321,0.78436,4.0065,269,547,547
2,motor,4224,3917,1.9155,9.6638,220,-307,307
2,motor,1237,1938,0.37659,2.5401,233,701,701
2,motor,1780,2204,0.54395,2.9132,275,424,424
2,motor,2269,2733,0.98067,5.5839,265,464,464
